"Date","Hour","Sensor_Location","Count"
"01/12/2021",4,"Victoria.Point",1
"01/12/2021",4,"Waterfront.City",NA
"01/12/2021",4,"New.Quay",6
"01/12/2021",4,"Flagstaff.Station",NA
"01/12/2021",4,"Sandridge.Bridge",21
"01/12/2021",4,"State.Library",NA
"01/12/2021",4,"Collins.St..North.",5
"01/12/2021",4,"Collins.Place..South.",9
"01/12/2021",4,"Collins.Place..North.",1
"01/12/2021",4,"Chinatown.Swanston.St..North.",31
"01/12/2021",4,"Chinatown.Lt.Bourke.St..South.",3
"01/12/2021",4,"Bourke.St.Russell.St..West.",15
"01/12/2021",4,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",4,"Spencer.St.Collins.St..South.",9
"01/12/2021",4,"Spencer.St.Collins.St..North.",29
"01/12/2021",4,"Melbourne.Convention.Exhibition.Centre",25
"01/12/2021",4,"QV.Market.Elizabeth.St..West.",17
"01/12/2021",4,"QV.Market.Peel.St",2
"01/12/2021",4,"The.Arts.Centre",47
"01/12/2021",4,"St.Kilda.Rd.Alexandra.Gardens",2
"01/12/2021",4,"Lonsdale.St..South.",25
"01/12/2021",4,"Lygon.St..West.",7
"01/12/2021",4,"City.Square",NA
"01/12/2021",4,"Flinders.St.Spring.St..West.",NA
"01/12/2021",4,"Flinders.St.Spark.La",NA
"01/12/2021",4,"Southbank",27
"01/12/2021",4,"Queen.St..West.",2
"01/12/2021",4,"Lygon.St..East.",9
"01/12/2021",4,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",4,"Alfred.Place",4
"01/12/2021",4,"Lonsdale.St.Spring.St..West.",4
"01/12/2021",4,"Grattan.St.Swanston.St..West.",1
"01/12/2021",4,"Monash.Rd.Swanston.St..West.",NA
"01/12/2021",4,"Tin.Alley.Swanston.St..West.",NA
"01/12/2021",4,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",4,"Flinders.La.Swanston.St..West.",63
"01/12/2021",4,"Pelham.St..South.",4
"01/12/2021",4,"Melbourne.Central.Elizabeth.St..East.",37
"01/12/2021",4,"QVM.Queen.St..East.",9
"01/12/2021",4,"QVM.Therry.St..South.",10
"01/12/2021",4,"Faraday.St.Lygon.St..West.",9
"01/12/2021",4,"QVM.Franklin.St..North.",4
"01/12/2021",4,"Elizabeth.St.Lonsdale.St..South.",4
"01/12/2021",4,"Lincoln.Swanston..W.",6
"01/12/2021",4,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",4,"Lonsdale.St...Elizabeth.St..North.",8
"01/12/2021",4,"Bourke.St.Bridge",3
"01/12/2021",4,"Bourke.St...Spencer.St..North.",16
"01/12/2021",4,"RMIT.Bld.80...445.Swanston.Street",8
"01/12/2021",4,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",4,"RMIT.Building.14",13
"01/12/2021",4,"X380.Elizabeth.St",57
"01/12/2021",4,"La.Trobe.St..North.",17
"01/12/2021",4,"X231.Bourke.St",NA
"01/12/2021",4,"Royal.Pde...Grattan.St",3
"01/12/2021",4,"Swanston.St...City.Square",147
"01/12/2021",4,"State.Library...New",28
"01/12/2021",4,"Flinders.Ln...Degraves.St..South.",6
"01/12/2021",4,"Flinders.Ln...Degraves.St..North.",0
"01/12/2021",4,"Flinders.Ln...Degraves.St..Crossing.",1
"01/12/2021",4,"Errol.Street..East.",17
"01/12/2021",4,"Westwood.Place",2
"01/12/2021",4,"Flinders.St...ACMI",3
"01/12/2021",4,"Bourke.St...Spencer.St..South.",9
"01/12/2021",4,"Spring.St...Flinders.St..West.",NA
"01/12/2021",4,"Macaulay.Rd...Bellair.St",1
"01/12/2021",4,"Harbour.Esplanade...Pedestrian.Path",NA
"01/12/2021",4,"Harbour.Esplanade...Bike.Path",NA
"01/12/2021",4,"Flinders.St..South.",21
"01/12/2021",4,"Elizabeth.St...Flinders.St..East....New.footpath",NA
"01/12/2021",4,"Macaulay.Rd..North.",NA
"01/12/2021",4,"Queensberry.St...Errol.St..South.",NA
"01/12/2021",5,"Bourke.Street.Mall..North.",21
"01/12/2021",5,"Bourke.Street.Mall..South.",13
"01/12/2021",5,"Melbourne.Central",35
"01/12/2021",5,"Town.Hall..West.",59
"01/12/2021",5,"Princes.Bridge",67
"01/12/2021",5,"Flinders.Street.Station.Underpass",100
"01/12/2021",5,"Birrarung.Marr",31
"01/12/2021",5,"Webb.Bridge",41
"01/12/2021",5,"Southern.Cross.Station",22
"01/12/2021",5,"Victoria.Point",NA
"01/12/2021",5,"Waterfront.City",10
"01/12/2021",5,"New.Quay",25
"01/12/2021",5,"Flagstaff.Station",NA
"01/12/2021",5,"Sandridge.Bridge",56
"01/12/2021",5,"State.Library",NA
"01/12/2021",5,"Collins.St..North.",15
"01/12/2021",5,"Collins.Place..South.",38
"01/12/2021",5,"Collins.Place..North.",15
"01/12/2021",5,"Chinatown.Swanston.St..North.",19
"01/12/2021",5,"Chinatown.Lt.Bourke.St..South.",10
"01/12/2021",5,"Bourke.St.Russell.St..West.",29
"01/12/2021",5,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",5,"Spencer.St.Collins.St..South.",26
"01/12/2021",5,"Spencer.St.Collins.St..North.",108
"01/12/2021",5,"Melbourne.Convention.Exhibition.Centre",138
"01/12/2021",5,"QV.Market.Elizabeth.St..West.",40
"01/12/2021",5,"QV.Market.Peel.St",13
"01/12/2021",5,"The.Arts.Centre",63
"01/12/2021",5,"St.Kilda.Rd.Alexandra.Gardens",19
"01/12/2021",5,"Lonsdale.St..South.",20
"01/12/2021",5,"Lygon.St..West.",11
"01/12/2021",5,"City.Square",NA
"01/12/2021",5,"Flinders.St.Spring.St..West.",NA
"01/12/2021",5,"Flinders.St.Spark.La",NA
"01/12/2021",5,"Southbank",100
"01/12/2021",5,"Queen.St..West.",14
"01/12/2021",5,"Lygon.St..East.",7
"01/12/2021",5,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",5,"Alfred.Place",18
"01/12/2021",5,"Lonsdale.St.Spring.St..West.",26
"01/12/2021",5,"Grattan.St.Swanston.St..West.",7
"01/12/2021",5,"Monash.Rd.Swanston.St..West.",5
"01/12/2021",5,"Tin.Alley.Swanston.St..West.",3
"01/12/2021",5,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",5,"Flinders.La.Swanston.St..West.",175
"01/12/2021",5,"Pelham.St..South.",6
"01/12/2021",5,"Melbourne.Central.Elizabeth.St..East.",90
"01/12/2021",5,"QVM.Queen.St..East.",14
"01/12/2021",5,"QVM.Therry.St..South.",28
"01/12/2021",5,"Faraday.St.Lygon.St..West.",7
"01/12/2021",5,"QVM.Franklin.St..North.",9
"01/12/2021",5,"Elizabeth.St.Lonsdale.St..South.",17
"01/12/2021",5,"Lincoln.Swanston..W.",8
"01/12/2021",5,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",5,"Lonsdale.St...Elizabeth.St..North.",10
"01/12/2021",5,"Bourke.St.Bridge",47
"01/12/2021",5,"Bourke.St...Spencer.St..North.",76
"01/12/2021",5,"RMIT.Bld.80...445.Swanston.Street",20
"01/12/2021",5,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",5,"RMIT.Building.14",26
"01/12/2021",5,"X380.Elizabeth.St",105
"01/12/2021",5,"La.Trobe.St..North.",17
"01/12/2021",5,"X231.Bourke.St",NA
"01/12/2021",5,"Royal.Pde...Grattan.St",11
"01/12/2021",5,"Swanston.St...City.Square",22
"01/12/2021",5,"State.Library...New",24
"01/12/2021",5,"Flinders.Ln...Degraves.St..South.",26
"01/12/2021",5,"Flinders.Ln...Degraves.St..North.",5
"01/12/2021",5,"Flinders.Ln...Degraves.St..Crossing.",13
"01/12/2021",5,"Errol.Street..East.",11
"01/12/2021",5,"Westwood.Place",23
"01/12/2021",5,"Flinders.St...ACMI",27
"01/12/2021",5,"Bourke.St...Spencer.St..South.",14
"01/12/2021",5,"Spring.St...Flinders.St..West.",21
"01/12/2021",5,"Macaulay.Rd...Bellair.St",6
"01/12/2021",5,"Harbour.Esplanade...Pedestrian.Path",26
"01/12/2021",5,"Harbour.Esplanade...Bike.Path",6
"01/12/2021",5,"Flinders.St..South.",39
"01/12/2021",5,"Elizabeth.St...Flinders.St..East....New.footpath",NA
"01/12/2021",5,"Macaulay.Rd..North.",NA
"01/12/2021",5,"Queensberry.St...Errol.St..South.",NA
"01/12/2021",6,"Bourke.Street.Mall..North.",123
"01/12/2021",6,"Bourke.Street.Mall..South.",53
"01/12/2021",6,"Melbourne.Central",117
"01/12/2021",6,"Town.Hall..West.",156
"01/12/2021",6,"Princes.Bridge",242
"01/12/2021",6,"Flinders.Street.Station.Underpass",408
"01/12/2021",6,"Birrarung.Marr",136
"01/12/2021",6,"Webb.Bridge",111
"01/12/2021",6,"Southern.Cross.Station",118
"01/12/2021",6,"Victoria.Point",4
"01/12/2021",6,"Waterfront.City",31
"01/12/2021",6,"New.Quay",91
"01/12/2021",6,"Flagstaff.Station",NA
"01/12/2021",6,"Sandridge.Bridge",122
"01/12/2021",6,"State.Library",NA
"01/12/2021",6,"Collins.St..North.",88
"01/12/2021",6,"Collins.Place..South.",157
"01/12/2021",6,"Collins.Place..North.",57
"01/12/2021",6,"Chinatown.Swanston.St..North.",19
"01/12/2021",6,"Chinatown.Lt.Bourke.St..South.",20
"01/12/2021",6,"Bourke.St.Russell.St..West.",41
"01/12/2021",6,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",6,"Spencer.St.Collins.St..South.",107
"01/12/2021",6,"Spencer.St.Collins.St..North.",326
"01/12/2021",6,"Melbourne.Convention.Exhibition.Centre",401
